Journal of Neural Transmission,paper_titles,ISSN,eISSN,Impact_factor
867,Journal of Quantitative Criminology,0748-4518,1573-7799,3.6 (2022)
868,Journal of Racial and Ethnic Health Disparities,,,3.9 (2022)
869,Journal of Radioanalytical and Nuclear Chemistry,0236-5731,1588-2780,1.6 (2022)
870,Journal of Rational-Emotive & Cognitive-Behavior Therapy,0894-9085,1573-6563,1.6 (2022)
871,Journal of Real Estate Literature,,,
872,Journal of Reducing Space Mission Cost,,,
873,Journal of Regulatory Economics,0922-680X,1573-0468,1.1 (2022)
874,Journal of Religion and Health,0022-4197,1573-6571,2.8 (2022)
875,Journal of Religious Education,1442-018X,2199-4625,0.6 (2022)
876,Journal of Retail & Leisure Property,,,
877,Journal of Risk and Uncertainty,0895-5646,1573-0476,4.7 (2022)
878,Journal of Robotic Surgery,,,2.3 (2022)
879,Journal of Rubber Research,1511-1768,2524-3993,1.3 (2022)
880,Journal of Scheduling,1094-6136,1099-1425,2.0 (2022)
881,Journal of Science Education and Technology,1059-0145,1573-1839,4.4 (2022)
882,Journal of Science Teacher Education,,,
883,Journal of Scientific Computing,0885-7474,1573-7691,2.5 (2022)
884,Journal of Sedimentary Environments,,,1.3 (2022)
885,Journal of Seismology,1383-4649,1573-157X,1.6 (2022)
886,Journal of Shanghai Jiaotong University (Science),1007-1172,1995-8188,"32,519 (2022)"
887,Journal of Shanghai University (English Edition),,,
888,Journal of Shipping and Trade,,,
889,Journal of Signal Processing Systems,1939-8018,1939-8115,1.8 (2022)
890,Journal of Simulation,,,
891,Journal of Social Distress and the Homeless,,,
892,Journal of Social and Economic Development,0972-5792,2199-6873,1.1 (2022)
893,Journal of Software Engineering Research and Development,,,
894,Journal of Soil Science and Plant Nutrition,0718-9508,0718-9516,3.9 (2022)
895,Journal of Soils and Sediments,1439-0108,1614-7480,3.6 (2022)
896,Journal of Sol-Gel Science and Technology,0928-0707,1573-4846,2.5 (2022)
897,Journal of Solid State Electrochemistry,1432-8488,1433-0768,2.5 (2022)
898,Journal of Solid State Lighting,,,
899,Journal of Solution Chemistry,0095-9782,1572-8927,1.2 (2022)
900,Journal of Spatial Econometrics,,,14 days
901,Journal of Statistical Distributions and Applications,,,
902,Journal of Statistical Physics,,,1.6 (2022)
903,Journal of Statistical Theory and Applications,,,1.0 (2022)
904,Journal of Statistical Theory and Practice,1559-8608,1559-8616,0.6 (2022)
905,Journal of Structural Chemistry,0022-4766,1573-8779,0.8 (2022)
906,Journal of Structural and Functional Genomics,,,
907,Journal of Superconductivity and Novel Magnetism,1557-1939,1557-1947,1.8 (2022)
908,Journal of Superhard Materials,1063-4576,1934-9408,0.9 (2022)
909,"Journal of Surface Investigation: X-ray, Synchrotron and Neutron Techniques",1027-4510,1819-7094,"29,148 (2022)"
910,Journal of Surfactants and Detergents,,,
911,Journal of Sustainable Metallurgy,2199-3823,2199-3831,2.4 (2022)
912,Journal of Systems Chemistry,,,
913,Journal of Systems Integration,,,
914,Journal of Systems Science and Complexity,1009-6124,1559-7067,2.1 (2022)
915,Journal of Systems Science and Systems Engineering,1004-3756,1861-9576,1.2 (2022)
916,"Journal of Targeting, Measurement and Analysis for Marketing",,,
917,Journal of Technology in Behavioral Science,,,15 days
918,Journal of The American Society for Mass Spectrometry,,,
919,Journal of The Institution of Engineers (India): Series A,2250-2149,2250-2157,7 days
920,Journal of The Institution of Engineers (India): Series B,2250-2106,2250-2114,"133,749 (2022)"
921,Journal of The Institution of Engineers (India): Series C,2250-0545,2250-0553,31 days
922,Journal of The Institution of Engineers (India): Series D,2250-2122,2250-2130,5 days
923,Journal of The Institution of Engineers (India): Series E,2250-2483,2250-2491,31 days
924,Journal of Theoretical Probability,0894-9840,1572-9230,0.8 (2022)
925,Journal of Theoretical and Applied Physics,,,
926,Journal of Therapeutic Ultrasound,,,
927,Journal of Thermal Analysis and Calorimetry,1388-6150,1588-2926,4.4 (2022)
928,Journal of Thermal Science,1003-2169,1993-033X,2.5 (2022)
929,Journal of Thermal Spray Technology,,,3.1 (2022)
930,Journal of Thrombosis and Thrombolysis,,,4.0 (2022)
931,Journal of Translational Medicine,,,
932,Journal of Transportation Security,1938-7741,1938-775X,1.3 (2022)
933,Journal of Trauma Management & Outcomes,,,
934,Journal of Traumatic Stress,,,
935,Journal of Ultrasound,,,2.0 (2022)
936,Journal of Umm Al-Qura University for Applied Sciences,,,
937,Journal of Umm Al-Qura University for Engineering and Architecture,,,
938,Journal of Uncertainty Analysis and Applications,,,
939,Journal of Venomous Animals and Toxins including Tropical Diseases,,,
940,Journal of Vibration Engineering & Technologies,2523-3920,2523-3939,2.7 (2022)
941,Journal of Visualization,1343-8875,1875-8975,1.7 (2022)
942,Journal of Volcanology and Seismology,0742-0463,1819-7108,0.7 (2022)
943,Journal of Water Chemistry and Technology,1063-455X,1934-936X,0.6 (2022)
944,Journal of Well-Being Assessment,,,
945,Journal of Wood Science,,,
946,Journal of World Prehistory,0892-7537,1573-7802,2.0 (2022)
947,Journal of Wuhan University of Technology-Mater. Sci. Ed.,1000-2413,1993-0437,1.6 (2022)
948,Journal of Youth and Adolescence,0047-2891,1573-6601,4.9 (2022)
949,Journal of Zhejiang University-SCIENCE A,1673-565X,1862-1775,3.2 (2022)
950,Journal of Zhejiang University-SCIENCE B,1673-1581,1862-1783,5.1 (2022)
951,Journal of instructional development,,,
952,Journal of the Academy of Marketing Science,0092-0703,1552-7824,18.2 (2022)
953,Journal of the American Oil Chemists' Society,,,
954,Journal of the Association for Research in Otolaryngology,,,2.4 (2022)
955,Journal of the Australian Ceramic Society,2510-1560,2510-1579,1.9 (2022)
956,Journal of the Brazilian Computer Society,,,
957,Journal of the Brazilian Society of Mechanical Sciences and Engineering,1678-5878,1806-3691,2.2 (2022)
958,Journal of the Economic Science Association,,,1.9 (2022)
959,Journal of the Egyptian Mathematical Society,,,
960,Journal of the Egyptian National Cancer Institute,,,
961,Journal of the Egyptian Public Health Association,,,
962,Journal of the European Mathematical Society,,,
963,Journal of the European Optical Society-Rapid Publications,,,
964,Journal of the Gay and Lesbian Medical Association,,,
965,Journal of the Geological Society of India,,,1.3 (2022)
966,Journal of the History of Biology,0022-5010,1573-0387,0.8 (2022)
967,Journal of the Indian Academy of Wood Science,0972-172X,0976-8432,0.7 (2022)
968,Journal of the Indian Institute of Science,0970-4140,0019-4964,2.3 (2022)
969,Journal of the Indian Society for Probability and Statistics,,,1.2 (2022)
970,KI - Künstliche Intelligenz,0933-1875,1610-1987,2.9 (2022)
971,KN - Journal of Cartography and Geographic Information,2524-4957,2524-4965,17 days
972,KSCE Journal of Civil Engineering,1226-7988,1976-3808,2.2 (2022)
973,KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie,0023-2653,1861-891X,1.5 (2022)
974,Keramische Zeitschrift,,,
975,Kew Bulletin,0075-5974,1874-933X,0.9 (2022)
976,Kidney,,,
977,Kind & Adolescent Praktijk,1571-4136,1875-7065,"76,930 (2022)"
978,Kind en adolescent,,,
979,Kinderopvang,0926-0838,2468-1393,"39,506 (2022)"
980,Kinematics and Physics of Celestial Bodies,0884-5913,1934-8401,0.5 (2022)
981,Kinetics and Catalysis,0023-1584,1608-3210,1.1 (2022)
982,Kinetoplastid Biology and Disease,,,
983,Knee Surgery & Related Research,,,
984,"Knee Surgery, Sports Traumatology, Arthroscopy",0942-2056,1433-7347,3.8 (2022)
985,Knie Journal,2662-4028,2662-4036,"21,272 (2022)"
986,Knowledge Management Research & Practice,,,
987,Knowledge and Information Systems,0219-1377,0219-3116,2.7 (2022)
988,"Knowledge, Technology & Policy",,,
989,Kognitionswissenschaft,,,
990,Korea-Australia Rheology Journal,1226-119X,2093-7660,1.3 (2022)
991,Korean Journal of Chemical Engineering,0256-1115,1975-7220,2.7 (2022)
992,Korean Social Science Journal,,,
993,OPSEARCH,0030-3887,0975-0320,1.6 (2022)
994,OR Insight,,,
995,OR Spectrum,0171-6468,1436-6304,2.7 (2022)
996,Obere Extremität,1862-6599,1862-6602,0.4 (2022)
997,Obesity Surgery,0960-8923,1708-0428,2.9 (2022)
998,Obésité,,,
999,Occupational Health Science,2367-0134,2367-0142,3.1 (2022)
1000,Ocean Dynamics,1616-7341,1616-7228,2.3 (2022)
1001,Ocean Science Journal,1738-5261,2005-7172,1.3 (2022)
1002,Oceanological and Hydrobiological Studies,,,
1003,Oceanology,0001-4370,1531-8508,1.0 (2022)
1004,Odontology,1618-1247,1618-1255,2.5 (2022)
1005,Oecologia,0029-8549,1432-1939,2.7 (2022)
1006,Oncologie,,,
1007,Oncology Reviews,,,
1008,Oncology and Therapy,2366-1070,2366-1089,2.7 (2022)
1009,Oncomagazine,,,
1010,Onderwijs en gezondheidszorg,,,
1011,One Health Advances,,,
1012,One Health Outlook,,,
1013,Onkopipeline,,,
1014,Open Economies Review,0923-7992,1573-708X,1.2 (2022)
1015,"Open Geospatial Data, Software and Standards",,,
1016,Open Systems and Information Dynamics,,,
1017,Operational Research,,,2.7 (2022)
1018,Operations Management Research,1936-9735,1936-9743,9.0 (2022)
1019,Operations Research Forum,,,27 days
1020,Operative Orthopädie und Traumatologie,0934-6694,1439-0981,0.7 (2022)
1021,Ophthalmology and Therapy,2193-8245,2193-6528,3.3 (2022)
1022,Optical Memory and Neural Networks,1060-992X,1934-7898,0.9 (2022)
1023,Optical Nanoscopy,,,
1024,Optical Networks Magazine,,,
1025,Optical Review,,,1.2 (2022)
1026,Optical and Quantum Electronics,0306-8919,1572-817X,3.0 (2022)
1027,Optics and Spectroscopy,0030-400X,1562-6911,0.6 (2022)
1028,Optimization Letters,1862-4472,1862-4480,1.6 (2022)
1029,Optimization and Engineering,1389-4420,1573-2924,2.1 (2022)
1030,Opto-Electronics Review,,,
1031,Optoelectronics Letters,1673-1905,1993-5013,0.9 (2022)
1032,"Optoelectronics, Instrumentation and Data Processing",8756-6990,1934-7944,0.4 (2022)
1033,Oral Cancer,,,
1034,Oral Radiology,0911-6028,1613-9674,2.2 (2022)
1035,Oral and Maxillofacial Surgery,,,1.8 (2022)
1036,Oralprophylaxe & Kinderzahnheilkunde,1614-2217,2190-8036,15 days
1037,Order,0167-8094,1572-9273,0.4 (2022)
1038,Organic Agriculture,1879-4238,1879-4246,16 days
1039,Organic and Medicinal Chemistry Letters,,,
1040,"Organisationsberatung, Supervision, Coaching",1618-808X,1862-2577,"258,562 (2022)"
1041,Organisms Diversity & Evolution,1439-6092,1618-1077,1.6 (2022)
1042,Organizational Design and Enterprise Engineering,,,
1043,Origins of Life and Evolution of Biospheres,0169-6149,1573-0875,2.0 (2022)
1044,Ornithology Research,,,1.1 (2022)
1045,Orphanet Journal of Rare Diseases,,,
1046,Orthopedics and Traumatology,,,
1047,Orthopädie & Rheuma,1435-0017,2196-5684,"184,832 (2022)"
1048,Orthopädie und Unfallchirurgie,2193-5254,2193-5262,
1049,Osteopathic Medicine and Primary Care,,,
1050,Osteoporosis International,0937-941X,1433-2965,4.0 (2022)
1051,SEARCH: The Journal of the South East Asia Research Centre for Communication and Humanities,,,
1052,SERIEs,1869-4187,1869-4195,1.3 (2022)
1053,SICS Software-Intensive Cyber-Physical Systems,,,
1054,SN Business & Economics,,,60 days
1055,SN Comprehensive Clinical Medicine,,,65 days
1056,SN Computer Science,,,33 days
1057,SN Social Sciences,,,72 days
1058,Safety in Extreme Environments,2524-8170,2524-8189,8 days
1059,"Sampling Theory, Signal Processing, and Data Analysis",2730-5716,2730-5724,13 days
1060,Sankhya A,0976-836X,0976-8378,0.7 (2022)
1061,Sankhya B,0976-8386,0976-8394,0.8 (2022)
1062,Satellite Navigation,,,
1063,"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",,,
1064,Schmalenbach Business Review,1439-2917,2194-072X,2.2 (2022)
1065,Schmalenbach Journal of Business Research,,,7 days
1066,Schmerz Nachrichten,2076-7625,2731-3999,"10,694 (2022)"
1067,Schmerzmedizin,2194-2536,2364-1010,"150,179 (2022)"
1068,School Mental Health,1866-2625,1866-2633,2.6 (2022)
1069,Schweizer Gastroenterologie,2662-7140,2662-7159,"26,276 (2022)"
1070,Science & Education,0926-7220,1573-1901,2.8 (2022)
1071,Science Bulletin,,,
1072,Science China Chemistry,1674-7291,1869-1870,9.6 (2022)
1073,Science China Earth Sciences,1674-7313,1869-1897,5.7 (2022)
1074,Science China Information Sciences,1674-733X,1869-1919,8.8 (2022)
1075,Science China Life Sciences,1674-7305,1869-1889,9.1 (2022)
1076,Science China Materials,2095-8226,2199-4501,8.1 (2022)
1077,Science China Mathematics,1674-7283,1869-1862,1.4 (2022)
1078,"Science China Physics, Mechanics & Astronomy",1674-7348,1869-1927,6.4 (2022)
1079,Science China Technological Sciences,1674-7321,1869-1900,4.6 (2022)
1080,Science and Engineering Ethics,1353-3452,1471-5546,3.7 (2022)
1081,Science-Business eXchange,,,
1082,Sciences of Soils,,,
1083,Scientific Modeling and Simulation SMNS,,,
1084,Scientific Phone Apps and Mobile Devices,,,
1085,Scientific and Technical Information Processing,0147-6882,1934-8118,0.7 (2022)
1086,Scientometrics,0138-9130,1588-2861,3.9 (2022)
1087,Scoliosis and Spinal Disorders,,,
1088,SeMA Journal,2254-3902,2281-7875,11 days
1089,Securitas Vialis,,,
1090,Security Informatics,,,
1091,Seismic Instruments,0747-9239,1934-7871,0.9 (2022)
1092,Selecta Mathematica,1022-1824,1420-9020,1.4 (2022)
1093,Semiconductors,1063-7826,1090-6479,0.7 (2022)
1094,Semigroup Forum,0037-1912,1432-2137,0.7 (2022)
1095,Seminars in Immunopathology,1863-2297,1863-2300,9.0 (2022)
1096,Sensing and Imaging,,,2.2 (2022)
1097,Service Business,1862-8516,1862-8508,5.9 (2022)
1098,Service Oriented Computing and Applications,,,1.3 (2022)
1099,Set-Valued and Variational Analysis,1877-0533,1877-0541,1.6 (2022)
1100,Sex Roles,0360-0025,1573-2762,3.8 (2022)
1101,Sexual Abuse: A Journal of Research and Treatment,,,
1102,Sexuality & Culture,1095-5143,1936-4822,1.5 (2022)
1103,Sexuality Research and Social Policy,1868-9884,1553-6610,2.6 (2022)
1104,Sexuality and Disability,0146-1044,1573-6717,1.5 (2022)
1105,Shape Memory and Superelasticity,2199-384X,2199-3858,2.2 (2022)
1106,Shock Waves,0938-1287,1432-2153,2.2 (2022)
1107,Siberian Advances in Mathematics,1055-1344,1934-8126,"1,572 (2022)"
1108,Siberian Mathematical Journal,0037-4466,1573-9260,0.5 (2022)
1109,"Signal, Image and Video Processing",,,2.3 (2022)
1110,Silence,,,
1111,Silicon,1876-990X,1876-9918,3.4 (2022)
1112,Silicon Chemistry,,,
1113,Skeletal Muscle,,,
1114,Skeletal Radiology,0364-2348,1432-2161,2.1 (2022)
1115,Skipr,1876-8695,2211-8772,"26,044 (2022)"
1116,Sleep Science and Practice,,,
1117,Sleep and Biological Rhythms,1446-9235,1479-8425,1.1 (2022)
1118,Sleep and Breathing,1520-9512,1522-1709,2.5 (2022)
1119,Sleep and Vigilance,,,29 days
1120,Small Business Economics,0921-898X,1573-0913,6.4 (2022)
1121,Small-scale Forestry,1873-7617,1873-7854,1.5 (2022)
1122,Smart Grids and Sustainable Energy,,,2.2 (2022)
1123,Smart Learning Environments,,,
1124,Smart Water,,,
1125,Sociaal Bestek,,,
1126,Social Choice and Welfare,0176-1714,1432-217X,0.9 (2022)
1127,Social Indicators Research,0303-8300,1573-0921,3.1 (2022)
1128,Social Justice Research,0885-7466,1573-6725,2.3 (2022)
1129,Social Psychiatry and Psychiatric Epidemiology,0933-7954,1433-9285,4.4 (2022)
1130,Social Psychology of Education,1381-2890,1573-1928,2.9 (2022)
1131,Social Trends,,,
1132,Society,0147-2011,1936-4725,0.9 (2022)
1133,Socio-Ecological Practice Research,2524-5279,2524-5287,5 days
1134,Sociological Forum,,,
1135,Sociological Practice,,,
1136,Soft Computing,1432-7643,1433-7479,4.1 (2022)
1137,Software-Concepts and Tools,,,
1138,Software Quality Journal,0963-9314,1573-1367,1.9 (2022)
1139,Soil Ecology Letters,2662-2289,2662-2297,4.0 (2022)
1140,Soil Mechanics and Foundation Engineering,0038-0741,1573-9279,0.8 (2022)
1141,Solar Physics,0038-0938,1573-093X,2.8 (2022)
1142,Solar System Research,0038-0946,1608-3423,0.9 (2022)
1143,Solid Fuel Chemistry,0361-5219,1934-8029,0.7 (2022)
1144,Somatic Cell and Molecular Genetics,,,
1145,Somnologie,1432-9123,1439-054X,1.4 (2022)
1146,Sonderprojekte ATZ/MTZ,,,
1147,Sonderprojekte ATZ/MTZ worldwide,,,
1148,Sophia,0038-1527,1873-930X,0.3 (2022)
1149,Source Code for Biology and Medicine,,,
1150,Southeast Asian Bulletin of Mathematics,,,
1151,Sozial Extra,0931-279X,1863-8953,"416,528 (2022)"
1152,Soziale Passagen,1867-0180,1867-0199,"150,782 (2022)"
1153,Soziale Probleme,,,
1154,Soziologie,,,
1155,Space Debris,,,
1156,Space Science Reviews,0038-6308,1572-9672,10.3 (2022)
1157,Spanish Economic Review,,,
1158,Spatial Cognition and Computation,,,
1159,Spatial Demography,2364-2289,2164-7070,1.9 (2022)
1160,Spatial Information Research,2366-3286,2366-3294,2.4 (2022)
1161,Speculations in Science and Technology,,,
1162,Spektrum der Augenheilkunde,0930-4282,1613-7523,0.1 (2022)
1163,Spine Deformity,2212-134X,2212-1358,1.6 (2022)
1164,Sport Sciences for Health,,,1.5 (2022)
1165,Sport- und Präventivmedizin,,,
1166,Sports Engineering,1369-7072,1460-2687,1.7 (2022)
1167,Sports Medicine,0112-1642,1179-2035,9.8 (2022)
1168,Sports Medicine - Open,,,
1169,Springer Healthcare News,,,
1170,Springer Science Reviews,,,
1171,SpringerPlus,,,
1172,Standby,,,
1173,Standort,0174-3635,1432-220X,4 days
1174,Statistical Inference for Stochastic Processes,1387-0874,1572-9311,0.8 (2022)
1175,Statistical Methods & Applications,1618-2510,1613-981X,1.0 (2022)
1176,Statistical Papers,0932-5026,1613-9798,1.3 (2022)
1177,Statistics and Computing,0960-3174,1573-1375,2.2 (2022)
1178,Statistics in Biosciences,1867-1764,1867-1772,1.0 (2022)
1179,Steel in Translation,0967-0912,1935-0988,"12,199 (2022)"
1180,Stem Cell Research & Therapy,,,
1181,Stem Cell Reviews and Reports,2629-3269,2629-3277,4.8 (2022)
1182,Stimulus,,,
1183,Stochastic Environmental Research and Risk Assessment,1436-3240,1436-3259,4.2 (2022)
1184,Stochastics and Partial Differential Equations: Analysis and Computations,2194-0401,2194-041X,1.5 (2022)
1185,Stomatologie,,,
1186,Strahlentherapie und Onkologie,0179-7158,1439-099X,3.1 (2022)
1187,Strategies in Trauma and Limb Reconstruction,,,
1188,Stratigraphy and Geological Correlation,0869-5938,1555-6263,1.0 (2022)
1189,Strength of Materials,0039-2316,1573-9325,0.7 (2022)
1190,Structural Chemistry,1040-0400,1572-9001,1.7 (2022)
1191,Structural and Multidisciplinary Optimization,1615-147X,1615-1488,3.9 (2022)
1192,Studia Geophysica et Geodaetica,0039-3169,1573-1626,0.9 (2022)
1193,Studia Logica,0039-3215,1572-8730,0.7 (2022)
1194,Studies in Comparative International Development,0039-3606,1936-6167,2.7 (2022)
1195,Studies in East European Thought,0925-9392,1573-0948,0.2 (2022)
1196,Studies in Philosophy and Education,0039-3746,1573-191X,1.0 (2022)
1197,Studies on Russian Economic Development,1075-7007,1531-8664,"46,552 (2022)"
1198,Substance Abuse,,,
1199,"Substance Abuse Treatment, Prevention, and Policy",,,
1200,Sugar Tech,0972-1525,0974-0740,1.9 (2022)
1201,Supervisie en coaching,,,
1202,Supportive Care in Cancer,0941-4355,1433-7339,3.1 (2022)
1203,Surface Coatings International Part B,,,
1204,Surface Engineering and Applied Electrochemistry,1068-3755,1934-8002,"12,197 (2022)"
1205,Surgery Today,0941-1291,1436-2813,2.5 (2022)
1206,Surgical Case Reports,,,
1207,Surgical Endoscopy,0930-2794,1432-2218,3.1 (2022)
1208,Surgical and Experimental Pathology,,,
1209,Surgical and Radiologic Anatomy,,,1.4 (2022)
1210,Surveys in Geophysics,0169-3298,1573-0956,4.6 (2022)
1211,Sustainability Nexus Forum,,,17 days
1212,Sustainability Science,1862-4065,1862-4057,6.0 (2022)
1213,Sustainable Chemical Processes,,,
1214,Sustainable Earth Reviews,,,
1215,Sustainable Energy Research,,,
1216,Sustainable Environment Research,,,
1217,Sustainable Water Resources Management,2363-5037,2363-5045,2.1 (2022)
1218,Swarm Intelligence,,,2.6 (2022)
1219,Swiss Journal of Economics and Statistics,,,
1220,Swiss Journal of Geosciences,,,
1221,Swiss Journal of Palaeontology,,,
1222,Symbiosis,0334-5114,1878-7665,2.5 (2022)
1223,SynthesHis,,,
1224,Synthese,0039-7857,1573-0964,1.5 (2022)
1225,System Familie,,,
1226,Systematic Parasitology,0165-5752,1573-5192,1.3 (2022)
1227,Systematic Reviews,,,
1228,Systemic Practice and Action Research,1094-429X,1573-9295,1.2 (2022)
1229,Systems Microbiology and Biomanufacturing,2662-7655,2662-7663,"126,120 (2022)"
1230,Systems and Synthetic Biology,,,
1231,São Paulo Journal of Mathematical Sciences,1982-6907,2316-9028,0.4 (2022)
1232,Sādhanā,,,1.6 (2022)
1233,Public Transport,,,2.6 (2022)
1234,Publications mathématiques de l'IHÉS,0073-8301,1618-1913,6.2 (2022)
1235,Publishing Research Quarterly,1053-8801,1936-4792,0.9 (2022)
1236,Publizistik,0033-4006,1862-2569,"247,451 (2022)"
1237,Pulmonary Therapy,,,3.0 (2022)
1238,Pure and Applied Geophysics,0033-4553,1420-9136,2.0 (2022)
1239,Purinergic Signalling,1573-9538,1573-9546,3.5 (2022)
1240,Pädiatrie,1867-2132,2196-6443,"252,198 (2022)"
1241,Pädiatrie & Pädologie,0030-9338,1613-7558,0.2 (2022)
1242,"p-Adic Numbers, Ultrametric Analysis and Applications",2070-0466,2070-0474,0.5 (2022)
1243,psychopraxis. neuropraxis,2197-9707,2197-9715,"120,891 (2022)"
1244,JA Clinical Reports,,,
1245,JBIC Journal of Biological Inorganic Chemistry,,,3.0 (2022)
1246,JETP Letters,0021-3640,1090-6487,1.3 (2022)
1247,JGZ Tijdschrift voor jeugdgezondheidszorg,,,
1248,JMST Advances,2524-7905,2524-7913,11 days
1249,JOM,1047-4838,1543-1851,2.6 (2022)
1250,JOT Journal für Oberflächentechnik,0940-8789,2192-869X,"55,268 (2022)"
1251,JPC – Journal of Planar Chromatography – Modern TLC,0933-4173,1789-0993,1.6 (2022)
1252,Jahresbericht der Deutschen Mathematiker-Vereinigung,0012-0456,1869-7135,"39,855 (2022)"
1253,Japan Journal of Industrial and Applied Mathematics,0916-7005,1868-937X,0.9 (2022)
1254,Japanese Journal of Mathematics,0289-2316,1861-3624,1.5 (2022)
1255,Japanese Journal of Ophthalmology,0021-5155,1613-2246,2.4 (2022)
1256,Japanese Journal of Radiology,1867-1071,1867-108X,2.1 (2022)
1257,Japanese Journal of Statistics and Data Science,2520-8756,2520-8764,1.3 (2022)
1258,Jeugd en Co,1873-9164,1876-6080,"13,416 (2021)"
1259,Jeugd en Co Kennis,,,
1260,Jeugdbeleid,,,
1261,Jewish History,0334-701X,1572-8579,0.3 (2022)
1262,Jindal Global Law Review,0975-2498,2364-4869,15 days
1263,Journal Africain d'Hépato-Gastroentérologie,,,
1264,Journal Africain du Cancer / African Journal of Cancer,,,
1265,Journal d'Analyse Mathématique,0021-7670,1565-8538,1.0 (2022)
1266,Journal for General Philosophy of Science,0925-4560,1572-8587,1.0 (2022)
1267,Journal for Interdisciplinary Research in Education (JIRE),,,
1268,Journal for Labour Market Research,,,
1269,Journal for STEM Education Research,2520-8705,2520-8713,"52,367 (2022)"
1270,Journal für Gastroenterologische und Hepatologische Erkrankungen,1728-6263,1728-6271,"34,910 (2022)"
1271,Journal für Gynäkologische Endokrinologie/Schweiz,1995-6924,2520-8500,"50,870 (2022)"
1272,Journal für Gynäkologische Endokrinologie/Österreich,1997-6690,1996-1553,"149,641 (2022)"
1273,Journal für Klinische Endokrinologie und Stoffwechsel,1998-7773,1998-7781,"102,079 (2022)"
1274,Journal für Mathematik-Didaktik,0173-5322,1869-2699,0.9 (2022)
1275,Journal für Mineralstoffwechsel & Muskuloskelettale Erkrankungen,2412-8260,2412-8287,0.1 (2022)
1276,Journal für Rechtspolitik,,,
1277,Journal für Urologie und Urogynäkologie/Österreich,1023-6090,1680-9424,"30,145 (2022)"
1278,Journal für Ästhetische Chirurgie,1867-4305,1867-4313,"52,393 (2021)"
1279,Journal of Academic Ethics,1570-1727,1572-8544,1.8 (2022)
1280,"Journal of Activity, Sedentary and Sleep Behaviors",,,
1281,Journal of Acupuncture and Tuina Science,1672-3597,1993-0399,0.5 (2022)
1282,Journal of Adult Development,1068-0667,1573-3440,2.2 (2022)
1283,Journal of Advanced Ceramics,2226-4108,2227-8508,16.9 (2022)
1284,Journal of Advancement in Medicine,,,
1285,Journal of Aeronautics and Space Technologies (Havacilik ve Uzay Teknolojileri Dergisi),,,
1286,Journal of African American Studies,1559-1646,1936-4741,0.5 (2022)
1287,Journal of African Trade,2214-8515,2214-8523,88 days
1288,Journal of Aging and Identity,,,
1289,Journal of Agricultural and Environmental Ethics,1187-7863,1573-322X,1.8 (2022)
1290,"Journal of Agricultural, Biological and Environmental Statistics",1085-7117,1537-2693,1.4 (2022)
1291,Journal of Algebraic Combinatorics,0925-9899,1572-9192,0.8 (2022)
1292,Journal of Ambient Intelligence and Humanized Computing,1868-5137,1868-5145,35 days
1293,Journal of Analysis and Testing,2096-241X,2509-4696,4.7 (2022)
1294,Journal of Analytical Chemistry,1061-9348,1608-3199,1.1 (2022)
1295,Journal of Analytical Science and Technology,,,
1296,Journal of Anesthesia,0913-8668,1438-8359,2.8 (2022)
1297,"Journal of Anesthesia, Analgesia and Critical Care",,,
1298,Journal of Animal Science and Biotechnology,,,
1299,Journal of Animal Science and Technology,,,
1300,Journal of Applied Electrochemistry,0021-891X,1572-8838,2.9 (2022)
1301,Journal of Applied Genetics,1234-1983,2190-3883,2.4 (2022)
1302,Journal of Applied Mathematics and Computing,1598-5865,1865-2085,2.2 (2022)
1303,Journal of Applied Mechanics and Technical Physics,0021-8944,1573-8620,0.6 (2022)
1304,Journal of Applied Metalworking,,,
1305,Journal of Applied Phycology,0921-8971,1573-5176,3.3 (2022)
1306,Journal of Applied Psychoanalytic Studies,,,
1307,Journal of Applied Spectroscopy,0021-9037,1573-8647,0.7 (2022)
1308,Journal of Applied Volcanology,,,
1309,Journal of Applied Youth Studies,2204-9193,2204-9207,14 days
1310,Journal of Applied and Computational Topology,2367-1726,2367-1734,14 days
1311,Journal of Applied and Industrial Mathematics,1990-4789,1990-4797,"5,813 (2022)"
1312,Journal of Aquatic Ecosystem Stress and Recovery,,,
1313,Journal of Archaeological Method and Theory,1072-5369,1573-7764,2.3 (2022)
1314,Journal of Archaeological Research,1059-0161,1573-7756,3.8 (2022)
1315,Journal of Arid Land,1674-6767,2194-7783,3.0 (2022)
1316,Journal of Artificial Organs,1434-7229,1619-0904,1.3 (2022)
1317,Journal of Assisted Reproduction and Genetics,1058-0468,1573-7330,3.1 (2022)
1318,Journal of Astrophysics and Astronomy,,,1.1 (2022)
1319,Journal of Atmospheric Chemistry,0167-7764,1573-0662,2.0 (2022)
1320,Journal of Autism and Developmental Disorders,0162-3257,1573-3432,3.9 (2022)
1321,Journal of Autoimmune Diseases,,,
1322,Journal of Automated Reasoning,0168-7433,1573-0670,1.1 (2022)
1323,Journal of Banking and Financial Technology,2524-7956,2524-7964,"45,434 (2022)"
1324,Journal of Behavioral Education,1053-0819,1573-3513,2.0 (2022)
1325,Journal of Behavioral Medicine,0160-7715,1573-3521,3.1 (2022)
1326,Journal of Big Data,,,
1327,Journal of Bio- and Tribo-Corrosion,2198-4220,2198-4239,22 days
